Variable_1,Variable_2,Correlation
Chr,Chr,1.0
Chr,Gene_length,-0.12212550401733807
Chr,Adipose - Subcutaneous_GTExTPM,0.015386310231134391
Chr,Adipose - Visceral (Omentum)_GTExTPM,0.017604144288828616
Chr,Adrenal Gland_GTExTPM,0.021786401722359867
Chr,Artery - Aorta_GTExTPM,0.006539677150692995
Chr,Artery - Coronary_GTExTPM,0.007232771004914636
Chr,Artery - Tibial_GTExTPM,0.0016631552404548125
Chr,Bladder_GTExTPM,0.02251330285178581
Chr,Brain - Amygdala_GTExTPM,0.029125648661924936
Chr,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.02957865861692375
Chr,Brain - Caudate (basal ganglia)_GTExTPM,0.028412096881629264
Chr,Brain - Cerebellar Hemisphere_GTExTPM,0.04176738045416818
Chr,Brain - Cerebellum_GTExTPM,0.04883259489276872
Chr,Brain - Cortex_GTExTPM,0.03800088450445202
Chr,Brain - Frontal Cortex (BA9)_GTExTPM,0.025735687324081404
Chr,Brain - Hippocampus_GTExTPM,0.030993237529133487
Chr,Brain - Hypothalamus_GTExTPM,0.027417355841283846
Chr,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.027839912066722323
Chr,Brain - Putamen (basal ganglia)_GTExTPM,0.03324794620145232
Chr,Brain - Spinal cord (cervical c-1)_GTExTPM,0.018664625627067846
Chr,Brain - Substantia nigra_GTExTPM,0.02591822080260433
Chr,Breast - Mammary Tissue_GTExTPM,0.020768612985605287
Chr,Cells - Cultured fibroblasts_GTExTPM,0.00952985480269297
Chr,Cells - EBV-transformed lymphocytes_GTExTPM,0.03521339174286231
Chr,Cervix - Ectocervix_GTExTPM,0.024383572000615614
Chr,Cervix - Endocervix_GTExTPM,0.028556818040200185
Chr,Colon - Sigmoid_GTExTPM,0.01877628139914924
Chr,Colon - Transverse_GTExTPM,0.021289701429150668
Chr,Esophagus - Gastroesophageal Junction_GTExTPM,0.018591861827454374
Chr,Esophagus - Mucosa_GTExTPM,0.025363072894703804
Chr,Esophagus - Muscularis_GTExTPM,0.018350670523778003
Chr,Fallopian Tube_GTExTPM,0.02687029336543617
Chr,Heart - Atrial Appendage_GTExTPM,0.00972226642675372
Chr,Heart - Left Ventricle_GTExTPM,0.014470985990385427
Chr,Kidney - Cortex_GTExTPM,0.026262973880140872
Chr,Kidney - Medulla_GTExTPM,0.027587232857804612
Chr,Liver_GTExTPM,0.020580705013365345
Chr,Lung_GTExTPM,0.022664039038807978
Chr,Minor Salivary Gland_GTExTPM,0.022838034835142795
Chr,Muscle - Skeletal_GTExTPM,0.010436926806853255
