,Chr,Gene_length,Adipose - Subcutaneous_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cerebellum_GTExTPM,Brain - Cortex_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,Brain - Hippocampus_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Cervix - Endocervix_GTExTPM,Colon - Sigmoid_GTExTPM,Colon - Transverse_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,Esophagus - Mucosa_GTExTPM,Esophagus - Muscularis_GTExTPM,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Kidney - Medulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Minor Salivary Gland_GTExTPM,Muscle - Skeletal_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,opentargets_association_score,pharmgkb_drugged_gene,DGIdb_interaction_group_score,HIPred,SDI,pLI,O_GlcNAc_Score,RVIS_Score,IPA_BP
Chr,1.0,-0.12212550401733807,0.015386310231134391,0.017604144288828616,0.021786401722359867,0.006539677150692995,0.007232771004914636,0.0016631552404548125,0.02251330285178581,0.029125648661924936,0.02957865861692375,0.028412096881629264,0.04176738045416818,0.04883259489276872,0.03800088450445202,0.025735687324081404,0.030993237529133487,0.027417355841283846,0.027839912066722323,0.03324794620145232,0.018664625627067846,0.02591822080260433,0.020768612985605287,0.00952985480269297,0.03521339174286231,0.024383572000615614,0.028556818040200185,0.01877628139914924,0.021289701429150668,0.018591861827454374,0.025363072894703804,0.018350670523778003,0.02687029336543617,0.00972226642675372,0.014470985990385427,0.026262973880140872,0.027587232857804612,0.020580705013365345,0.022664039038807978,0.022838034835142795,0.010436926806853255,0.015834828560731835,0.019850939829444924,0.019927610509787322,0.03570147368570482,0.04025543403738054,0.030188888359846337,0.029540726504005917,0.024709418004726688,0.041222047122567405,0.025779073051566778,0.05825232403284069,0.03399035560460887,0.022259344124358368,0.023832970512757047,0.05392988437863002,-0.03692241778586677,,-0.015236813521750135,-0.0444236032183813,-0.019426197476703346,-0.013840653447859274,0.030909386627305527,-0.014736209950591229,-0.026675254831371967
Gene_length,-0.12212550401733807,1.0,0.09625482510114214,0.07705571751730907,0.07052387383651366,0.09680144962162633,0.09296675065801889,0.12021005134509496,0.08274458039576987,0.12018952233015985,0.12897991929223226,0.12044867777055637,0.12275110969185456,0.11607799697062685,0.12422332157519242,0.13865631877645215,0.12040691923453152,0.11304631180433951,0.12121160844195543,0.11139814882910609,0.11969777888833122,0.11595437231217447,0.079011258235566,0.09439489910356408,0.05215618681812279,0.09206217917413553,0.08328686214304387,0.09787559243145502,0.057035262692955294,0.09630757487476722,0.03977937372536534,0.09780313218802265,0.07100808893079234,0.09174212759614352,0.08241670187440238,0.04565566431513572,0.03894603593471127,0.03170559893834961,0.07204840250752864,0.06258229937147855,0.09193800704423045,0.10152598244866991,0.09382702115252131,0.05466999147657689,0.07147921335339263,0.05297670727902293,0.04347424956732407,0.048294035065413514,0.03985653036457452,0.024603775013087123,0.048037121504029265,0.02622902588972044,0.0818838933418965,0.09061517537102705,0.06046301399260362,0.013637543040137947,-0.03954036542861847,,-0.08899148889588492,0.3079689362027177,0.16454111012331787,0.0910222711138218,0.10965878031619804,-0.2523675492370545,0.04138974921961118
Adipose - Subcutaneous_GTExTPM,0.015386310231134391,0.09625482510114214,1.0,0.984178801387018,0.9054336078672308,0.9429515681194842,0.964393966424986,0.9479036945916507,0.9535878255068956,0.7757259495739799,0.7501245408599401,0.7721455604435731,0.7285688446240759,0.7317758383748088,0.7450696330916731,0.7341577395320186,0.7798068955534222,0.7765156675057128,0.7544823265211724,0.7792518804539047,0.8277189799963354,0.814384166055572,0.9803528502349904,0.8804372830922187,0.7689917665102846,0.94453375620321,0.9442390894703723,0.934533246275974,0.9020013636493205,0.9496294445310022,0.85017061836613,0.945620464663325,0.94714674256476,0.9179177976851737,0.9053902747275013,0.8668289579761875,0.8754345605412774,0.8159706424175426,0.9300967628792568,0.8986231196182236,0.877584779132809,0.9468760474257645,0.9109698457998583,0.8561896392060963,0.8289973928967483,0.9145897487049434,0.8583234835110803,0.8651165234047679,0.8899347530260736,0.880816501747073,0.8990376970692868,0.6524185754599652,0.9182357592019331,0.9424018910430452,0.9058855134013718,0.7899164695448362,-0.0723609037414602,,0.006204124471001327,0.41603039767066574,0.2864839222828561,0.26575763036841704,0.04464223746857891,-0.2740058577169245,0.034347741535523814
Adipose - Visceral (Omentum)_GTExTPM,0.017604144288828616,0.07705571751730907,0.984178801387018,1.0,0.909716276168115,0.9379460642543018,0.9608998116016885,0.9341227070742983,0.9505504684382745,0.7774545627047825,0.7510465323290098,0.7732405400890447,0.7246033484745079,0.728372509318664,0.745738013354425,0.7346848659263724,0.7811134887640998,0.7785166433179761,0.7548574191793901,0.7803437580914245,0.8280326106399305,0.8154038725232273,0.9761046680845481,0.874002691385904,0.769970464786063,0.9396675412792139,0.9418223641747773,0.9319651896879467,0.9060270700275123,0.9462250466220021,0.8568717007890719,0.9418971425322169,0.9512964120658359,0.9208110371425713,0.9058377620672645,0.8762797951992289,0.8849840447605426,0.8245111551730959,0.9406452302793178,0.900814456027725,0.8662633702377521,0.9377048021188851,0.9124494840921586,0.8634803249106251,0.8366991959583563,0.9179874048559433,0.8568503107472695,0.8599980985167487,0.8957766537967381,0.8898800986859233,0.9063716579638171,0.6490154543925261,0.9210469952007991,0.93978558074189,0.908116304879608,0.7983071774115323,-0.08006705680406866,,0.016344074471231415,0.4118273939709096,0.2935732619434543,0.2644073393367656,0.04163303845892898,-0.26917023484045455,0.036868983582125175
Adrenal Gland_GTExTPM,0.021786401722359867,0.07052387383651366,0.9054336078672308,0.909716276168115,1.0,0.9023887375646642,0.911847891760486,0.8949624373766617,0.9149855015216647,0.8055056897925413,0.7855604349444282,0.8023255369814608,0.7672143480031834,0.76840981661461,0.7799667089136972,0.7721760758094601,0.807833566928724,0.8125631383188974,0.7919381055951609,0.8063963055928068,0.8430071270729605,0.8354189796005907,0.909270812418858,0.8699521009500268,0.7876760276255795,0.9055035066776954,0.9115117825270566,0.9037587519457057,0.8807159505199106,0.908889187356748,0.8427327970845807,0.9070836052697404,0.9127328649967182,0.8917200006774423,0.8870487051212864,0.8804340700149571,0.8837367665658323,0.8392194727920306,0.8834067526015034,0.878855241482452,0.8544886654957649,0.8928600001451994,0.9139265118418816,0.8813106914783735,0.8723217079086403,0.9018702118678559,0.8324550542949128,0.8314648829004285,0.8703401338897948,0.8655941644727024,0.8958511785255283,0.6914075631815977,0.8999049953831063,0.90875611660983,0.8748503849844537,0.7807879882975579,-0.0590597026412889,,-0.0017510264932782808,0.3959325802383305,0.2716740177504788,0.2515555666063256,0.0010827614148857965,-0.2693756423909786,0.0037901790862732215
Artery - Aorta_GTExTPM,0.006539677150692995,0.09680144962162633,0.9429515681194842,0.9379460642543018,0.9023887375646642,1.0,0.986743620801021,0.9816395781207712,0.9517037163663924,0.7909624306227953,0.7689050148284752,0.7881027118518124,0.7487304618016343,0.7514084387774566,0.7646421264319984,0.7549320293468388,0.7945797107330899,0.7946268694002953,0.7734327594021811,0.7932155144725415,0.8356481782422719,0.8247687509636217,0.9359764288362584,0.8842417153399555,0.7619792045145415,0.943748837580086,0.9450316148353324,0.9430423782109765,0.8942559884515727,0.9570603653330109,0.8426773840671866,0.9525279471485474,0.9452060323402386,0.9244993383768565,0.9041709669818382,0.8592256685038944,0.8678379210944811,0.798596342289297,0.9121108169908066,0.8864348634772737,0.8664485072712438,0.9300063131707604,0.917209912113271,0.8528716996559135,0.8495298179471118,0.9187139589302649,0.8412279238456883,0.8458171199391159,0.870600022819304,0.8582984817419264,0.8939575645668051,0.6605591030158494,0.9108932941868269,0.9469436780880309,0.8997884606455516,0.7706650550228937,-0.06482287188126887,,0.00023572022294608997,0.4164221044005225,0.2847650057590849,0.27246165906059067,0.054647179275751925,-0.2846014432422417,0.02982300134311306
Artery - Coronary_GTExTPM,0.007232771004914636,0.09296675065801889,0.964393966424986,0.9608998116016885,0.911847891760486,0.986743620801021,1.0,0.9829000608466799,0.9631228528814106,0.7973179022905602,0.7735040640520592,0.7942512006103364,0.7498114525825619,0.7528870534404974,0.7685257052366137,0.7583649018916868,0.8012294862482063,0.7993671434048196,0.7777082455355457,0.8001028039991585,0.8433821000351674,0.8328001220059852,0.9550020149821238,0.8856084671343534,0.7680939733490102,0.9524893075733634,0.9539296082176686,0.952420971277082,0.9070064648489954,0.9671511104361448,0.8510821778079342,0.9626771012112807,0.9563660082870296,0.9402765417197193,0.9204455595585169,0.8698640278356186,0.8786210752249048,0.8111062964754842,0.9285669846456511,0.8956972579916633,0.8775112187819086,0.9482993210693594,0.9232665624667574,0.860436437953376,0.851044714168838,0.9272786893724027,0.8490014576981747,0.8540199287566088,0.885738008203894,0.8754520916510441,0.9045984821069698,0.6629976871580568,0.9217264695653108,0.954064204279461,0.908865551081137,0.7811788815636548,-0.07043676386783713,,0.006164042245996564,0.41782628654661563,0.28972978614152933,0.2708317902270067,0.048828496239179064,-0.2812401437840743,0.03209075724879958
Artery - Tibial_GTExTPM,0.0016631552404548125,0.12021005134509496,0.9479036945916507,0.9341227070742983,0.8949624373766617,0.9816395781207712,0.9829000608466799,1.0,0.9541095668372818,0.7900291436055069,0.7695693553715779,0.7879148962998559,0.7533069060013063,0.7545277198671078,0.7644705052710877,0.7563560509866923,0.7934993095938881,0.7919348839173648,0.773485705614701,0.792804667776286,0.8338905133779878,0.8220742279993258,0.9368699208045684,0.8845262133943482,0.7566317462799311,0.9459965461325964,0.944400014322951,0.9477263040717155,0.8912103556234948,0.9600601796280813,0.8376555276022579,0.9558606739623999,0.9453167782375445,0.9220731505014493,0.9051489651800431,0.8530607146332432,0.8621596637371898,0.7905900269873082,0.8995045533584364,0.8793946378539181,0.881851513919137,0.9339153779329588,0.9174734313938158,0.8464103853546147,0.8416323978841392,0.9148774909992349,0.8419539977917496,0.8482546073601043,0.8617290736630191,0.8419508749717085,0.887575448008394,0.661814412615132,0.9070618518805482,0.9494328129704256,0.8976404540745745,0.7545339493827458,-0.05721048507273868,,-0.0066836115547948115,0.43364434035972954,0.28064635665130117,0.28749869730360605,0.061682889472092356,-0.2925060235776796,0.028369836138305692
Bladder_GTExTPM,0.02251330285178581,0.08274458039576987,0.9535878255068956,0.9505504684382745,0.9149855015216647,0.9517037163663924,0.9631228528814106,0.9541095668372818,1.0,0.794300753125152,0.7712383569101385,0.7927594923129916,0.7572699186047601,0.761302329892067,0.7687236950436186,0.7564169723442742,0.7980561879896344,0.7969270204034213,0.7773484783185562,0.7983321703621068,0.8390134308571221,0.8276637453789227,0.9576683101263953,0.8863196641218063,0.7808296752750578,0.9648508519433944,0.9654818064117108,0.9667207193932666,0.9355845056650456,0.9733922109122392,0.886964350164985,0.9707441351210069,0.9656848602284062,0.9215682240154722,0.9096720896472443,0.8844636125754947,0.8953239884882548,0.8202788347617531,0.9280700807373639,0.9161661277231924,0.8754120475084891,0.9395047256141423,0.9317710463949206,0.880072887964787,0.8620571620655697,0.9565655392272285,0.8775166605915411,0.8801666068181474,0.9098020992863246,0.8766955577464802,0.9305656595129577,0.6770193615620058,0.9276379294567765,0.963889519202992,0.9385343625552333,0.7871711594875698,-0.06461119515448076,,0.009587452257441393,0.4180217108254552,0.2860856977092901,0.26928625712511783,0.049604056991905524,-0.2863090061390382,0.022316101194193513
Brain - Amygdala_GTExTPM,0.029125648661924936,0.12018952233015985,0.7757259495739799,0.7774545627047825,0.8055056897925413,0.7909624306227953,0.7973179022905602,0.7900291436055069,0.794300753125152,1.0,0.9880219056179663,0.9808150207495082,0.889946234427889,0.8934213143776912,0.977325511539441,0.975525918317296,0.9926661030536967,0.9791638442689062,0.9770086538959384,0.9807254671818066,0.936027212461373,0.9725227567830685,0.7820195261814901,0.7422242632865736,0.6703841443812238,0.8008216039358548,0.8056143057947592,0.8241834360336843,0.7687070955005734,0.8181740992574137,0.7171462976985619,0.8173837120205675,0.7997045145791926,0.8026541677212974,0.7936627627009396,0.7666789961481613,0.7731484597637573,0.6934133306295189,0.7502754948539665,0.7563276315117614,0.7603942164747737,0.8150592509335945,0.7959990102057201,0.7610528845519131,0.8581963804766645,0.7978610334412298,0.7192735502200331,0.7193464797110108,0.73699296180933,0.7254552626822948,0.7770695112614568,0.6295097972023805,0.7882656688387809,0.8002186822321617,0.7557172321883763,0.658687664535716,-0.03927488326426264,,-0.04204521914121741,0.4657185621679036,0.2832183025082997,0.33576569957113184,0.003034090372062075,-0.32612761259372286,-0.004398194002541743
