Variable_1,Variable_2,Correlation
Chr,Chr,1.0
Chr,Gene_length,-0.0840945171039649
Chr,Adipose - Subcutaneous_GTExTPM,-0.002809663510197086
Chr,Adipose - Visceral (Omentum)_GTExTPM,-1.1486917507178675e-05
Chr,Adrenal Gland_GTExTPM,0.018490061256800912
Chr,Artery - Aorta_GTExTPM,-0.013233619122017976
Chr,Artery - Coronary_GTExTPM,-0.010860333616915841
Chr,Artery - Tibial_GTExTPM,-0.013776371517893685
Chr,Bladder_GTExTPM,0.002136634051847067
Chr,Brain - Amygdala_GTExTPM,0.02480149939300447
Chr,Brain - Anterior cingulate cortex (BA24)_GTExTPM,0.02475207869187208
Chr,Brain - Caudate (basal ganglia)_GTExTPM,0.02403467138244956
Chr,Brain - Cerebellar Hemisphere_GTExTPM,0.023112232608177286
Chr,Brain - Cerebellum_GTExTPM,0.02773653396216485
Chr,Brain - Cortex_GTExTPM,0.028905440117258617
Chr,Brain - Frontal Cortex (BA9)_GTExTPM,0.020134807581585475
Chr,Brain - Hippocampus_GTExTPM,0.026194826433231594
Chr,Brain - Hypothalamus_GTExTPM,0.02183361473114039
Chr,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,0.022499858989699806
Chr,Brain - Putamen (basal ganglia)_GTExTPM,0.027542189371737604
Chr,Brain - Spinal cord (cervical c-1)_GTExTPM,0.012178627429316457
Chr,Brain - Substantia nigra_GTExTPM,0.016970812947756528
Chr,Breast - Mammary Tissue_GTExTPM,-0.00026718433614911105
Chr,Cells - Cultured fibroblasts_GTExTPM,0.0007907073912928095
Chr,Cells - EBV-transformed lymphocytes_GTExTPM,0.01413928407231595
Chr,Cervix - Ectocervix_GTExTPM,0.009811310311300264
Chr,Cervix - Endocervix_GTExTPM,0.014254915716068288
Chr,Colon - Sigmoid_GTExTPM,0.0005976282929027708
Chr,Colon - Transverse_GTExTPM,0.006229629235975526
Chr,Esophagus - Gastroesophageal Junction_GTExTPM,-0.0028600583296397716
Chr,Esophagus - Mucosa_GTExTPM,0.012645203968586576
Chr,Esophagus - Muscularis_GTExTPM,-0.0039035877161304492
Chr,Fallopian Tube_GTExTPM,0.012888524208955933
Chr,Heart - Atrial Appendage_GTExTPM,-0.006023564702007996
Chr,Heart - Left Ventricle_GTExTPM,-0.006417983585660081
Chr,Kidney - Cortex_GTExTPM,0.002352177179871869
Chr,Kidney - Medulla_GTExTPM,0.009948728873306582
