,Chr,Gene_length,Adipose - Subcutaneous_GTExTPM,Adipose - Visceral (Omentum)_GTExTPM,Adrenal Gland_GTExTPM,Artery - Aorta_GTExTPM,Artery - Coronary_GTExTPM,Artery - Tibial_GTExTPM,Bladder_GTExTPM,Brain - Amygdala_GTExTPM,Brain - Anterior cingulate cortex (BA24)_GTExTPM,Brain - Caudate (basal ganglia)_GTExTPM,Brain - Cerebellar Hemisphere_GTExTPM,Brain - Cerebellum_GTExTPM,Brain - Cortex_GTExTPM,Brain - Frontal Cortex (BA9)_GTExTPM,Brain - Hippocampus_GTExTPM,Brain - Hypothalamus_GTExTPM,Brain - Nucleus accumbens (basal ganglia)_GTExTPM,Brain - Putamen (basal ganglia)_GTExTPM,Brain - Spinal cord (cervical c-1)_GTExTPM,Brain - Substantia nigra_GTExTPM,Breast - Mammary Tissue_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cervix - Ectocervix_GTExTPM,Cervix - Endocervix_GTExTPM,Colon - Sigmoid_GTExTPM,Colon - Transverse_GTExTPM,Esophagus - Gastroesophageal Junction_GTExTPM,Esophagus - Mucosa_GTExTPM,Esophagus - Muscularis_GTExTPM,Fallopian Tube_GTExTPM,Heart - Atrial Appendage_GTExTPM,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Kidney - Medulla_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Minor Salivary Gland_GTExTPM,Muscle - Skeletal_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Pituitary_GTExTPM,Prostate_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Skin - Sun Exposed (Lower leg)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Stomach_GTExTPM,Testis_GTExTPM,Thyroid_GTExTPM,Uterus_GTExTPM,Vagina_GTExTPM,Whole Blood_GTExTPM,opentargets_association_score,pharmgkb_drugged_gene,DGIdb_interaction_group_score,HIPred,SDI,pLI,O_GlcNAc_Score,IPA_BP
Chr,1.0,-0.0840945171039649,-0.002809663510197086,-1.1486917507178675e-05,0.018490061256800912,-0.013233619122017976,-0.010860333616915841,-0.013776371517893685,0.002136634051847067,0.02480149939300447,0.02475207869187208,0.02403467138244956,0.023112232608177286,0.02773653396216485,0.028905440117258617,0.020134807581585475,0.026194826433231594,0.02183361473114039,0.022499858989699806,0.027542189371737604,0.012178627429316457,0.016970812947756528,-0.00026718433614911105,0.0007907073912928095,0.01413928407231595,0.009811310311300264,0.014254915716068288,0.0005976282929027708,0.006229629235975526,-0.0028600583296397716,0.012645203968586576,-0.0039035877161304492,0.012888524208955933,-0.006023564702007996,-0.006417983585660081,0.002352177179871869,0.009948728873306582,0.0043061692436784085,-0.005956147648805554,0.005819272173956175,0.0033330117312300135,0.0012497704739109195,0.017957639452385373,0.0013464545144566019,0.021212299612879813,0.015588259927192939,0.009062163713504994,0.009203406511722427,0.010296355182215715,0.02492856373272668,0.00623825335797613,0.03937205011427498,0.011623390337353474,0.01407098886429805,0.008406244394102131,0.014323017598194411,-0.031130921323665864,,0.08012248245623835,0.017755686710446725,-2.4067294988357463e-05,0.055383111419507906,-0.0679463020046524,-0.008139158566096368
Gene_length,-0.0840945171039649,1.0,0.30447975677114814,0.29233538506375867,0.27263432972564905,0.3305350056524088,0.32157524395299136,0.34178806935077166,0.3033415697785415,0.3197579512847648,0.32549855927773913,0.32550121844680896,0.33005172722694676,0.3232507603544972,0.32266343460547237,0.3377246490251777,0.3214537224004035,0.3230251164967223,0.32171514869344053,0.31664527016939653,0.32062667943100415,0.31930328590498147,0.2956029095992124,0.2830709335990491,0.24068018702970395,0.30156134677804725,0.3010668966626334,0.31829143857902514,0.2911871347827956,0.31656130163012863,0.261335193316527,0.3157136457988105,0.29202716078841773,0.3051364660168104,0.30382648788899513,0.27599541056518706,0.26872989757771,0.2640525676830488,0.29831233112964495,0.28962297005642407,0.3025133453196708,0.3150226534187262,0.29637631113481905,0.27756641104325536,0.27200525408337667,0.27449589887162695,0.27588357804557845,0.2799373378066298,0.2806125078562092,0.2524507446177167,0.28322700142847484,0.2505138821518214,0.29275605446108915,0.30314270192896,0.28566911177208126,0.2340048232666548,-0.024262453152568024,,-0.15550799695575115,0.3172200231363497,0.15807017162778986,0.21245773929284242,-0.016073646204353587,0.12765232024402146
Adipose - Subcutaneous_GTExTPM,-0.002809663510197086,0.30447975677114814,1.0,0.987632440000786,0.9032258687412021,0.9460058993618533,0.9648082495357242,0.9527058521340344,0.9593287663160189,0.8381829071436299,0.8152351974760912,0.833600085273334,0.7663071259491889,0.7770433700423097,0.812157596492642,0.7972874523431269,0.8416868839362291,0.8440450033143582,0.817580837263409,0.8390231927756121,0.8692889980427215,0.8671538356767989,0.9888517126621059,0.8994186717270832,0.7811763085528272,0.9532018080151494,0.9540029060244161,0.9452758939994623,0.9397782245516187,0.9576503296414809,0.901941147241236,0.9539558080404921,0.9554200606731381,0.9111059504476975,0.9010329399088222,0.9008701049341451,0.9084139053679188,0.8563874490661245,0.954891352132224,0.9244561156891193,0.8824928278784643,0.9625142102074234,0.9327424332533893,0.8851438900386304,0.8689097394781595,0.9311051924028828,0.9237854473905577,0.9325036758649833,0.9313171653751293,0.9036904635682548,0.9296754644993516,0.7808396451258173,0.9362363156739673,0.9573380039267672,0.9434927723462287,0.8215219479925839,-0.09460905328095072,,0.010035639718571123,0.3791336192210827,0.28533083515925234,0.27380946976258874,0.09124312801599847,0.08937769718167075
Adipose - Visceral (Omentum)_GTExTPM,-1.1486917507178675e-05,0.29233538506375867,0.987632440000786,1.0,0.9078189720297092,0.9429662617048691,0.9623543669244211,0.9429880604558696,0.9577066343495998,0.8403075834770227,0.8170557361936658,0.8358258384880131,0.7655552040248323,0.7760765743474729,0.8137008687942098,0.7990289107815756,0.8440998698324728,0.846901822103317,0.8200899176423901,0.8414486991233519,0.8717302806362658,0.8685915767210657,0.9863972615570991,0.8977621840466453,0.7808715763715142,0.9498470218868583,0.9534922511553015,0.9432859963885574,0.9410598758304404,0.9554637740247514,0.9034166246497483,0.9515371500681562,0.9589691772213115,0.9175017219906207,0.9021065444059166,0.9060990929855822,0.9141342139341173,0.8608705556653662,0.9604474123336924,0.9249691346500121,0.8747469974831996,0.9563277904751224,0.9340273859448694,0.8898943679318833,0.8756206526992805,0.9340052897962395,0.9180839140203191,0.9242008318207084,0.9346925508914136,0.9062096408771119,0.9318683439376069,0.7779558841756911,0.9368862263707123,0.9548370992527135,0.9424047303512756,0.8196833244501639,-0.10853979023744374,,0.01558818926972001,0.3704482959159508,0.28058273886239227,0.2658274989122722,0.0676063918006085,0.0893989060937024
Adrenal Gland_GTExTPM,0.018490061256800912,0.27263432972564905,0.9032258687412021,0.9078189720297092,1.0,0.891977808532187,0.9027378609501979,0.8883107576017738,0.9208773304160204,0.853232085029588,0.8351946143292294,0.8478225764582343,0.8081394388064114,0.816007411436998,0.8329679199743474,0.8203925268520719,0.8543716692900645,0.864992238347437,0.8392089059302941,0.8494631544492326,0.8771282053300056,0.8751151661967113,0.9149332755738845,0.8831035254218732,0.8113346005615926,0.9059968596742598,0.9100318211035358,0.908714097162958,0.9203686681871683,0.9098871007538515,0.896364406210761,0.910729167730432,0.912341312058012,0.8818361690649311,0.8753448499009269,0.9046624239772861,0.9036008438473253,0.8712419016230273,0.9054734043815236,0.9088826279423634,0.8629263517437096,0.9037414001131224,0.9173179769665828,0.906890138378831,0.8991234468926991,0.9163639757505627,0.8981177452291229,0.897668771483011,0.9126628108065654,0.9002646197200505,0.9251062835153261,0.8148782307203629,0.9114510963422351,0.9090973362803533,0.9081649490191742,0.8327729602745302,-0.06998711700039455,,0.054605387768203444,0.3273958231084239,0.24626020230853893,0.24517591523059992,-0.017015805957879014,0.04421229428592235
Artery - Aorta_GTExTPM,-0.013233619122017976,0.3305350056524088,0.9460058993618533,0.9429662617048691,0.891977808532187,1.0,0.9885331609714403,0.9847217276235052,0.9521868630541667,0.8355819367142105,0.8158214288228547,0.8282748707962014,0.7638462017182445,0.7746664226331764,0.8103589569139118,0.7967298721819177,0.8371052024780681,0.8417681101791362,0.8160022238954049,0.8315746640027836,0.8554820732695388,0.8591339358355133,0.9453838523453093,0.8873519163148276,0.7473659061496505,0.9481525747800967,0.9489176564405319,0.9528240689884495,0.9314662573502961,0.9648646657520574,0.8854161431282939,0.9613659810846545,0.95095583612788,0.9157516688006339,0.897749318996714,0.8781735083760555,0.8864578030652049,0.8281137375405311,0.9315317737043701,0.9061679497321313,0.8672016702995132,0.9438317744352277,0.9290647590501998,0.8678518588428208,0.8670508282411333,0.9287222328248461,0.8949125782816328,0.9014586682547425,0.9025997747728131,0.8648995181448409,0.9145406754745231,0.7666081671345153,0.9217776089655628,0.951714043491037,0.9268042994186242,0.7839543318249431,-0.10079931035467102,,0.020440835784746345,0.37374351277838536,0.2897318825738814,0.2788971454614793,0.10776012278337302,0.09502118397810547
Artery - Coronary_GTExTPM,-0.010860333616915841,0.32157524395299136,0.9648082495357242,0.9623543669244211,0.9027378609501979,0.9885331609714403,1.0,0.9862686452726551,0.9603080011886151,0.8455485147334327,0.8237599921896498,0.8387404232258968,0.7691689345019613,0.7801360940648825,0.8179961322154179,0.8043675461511235,0.8472858311383048,0.8514081032824972,0.8252716867338571,0.8430823442887536,0.8653577869621483,0.8718933075585013,0.9621119205229137,0.8899600759487174,0.758978442089515,0.9545332151272246,0.9562355561726182,0.9560243745849656,0.9389110622867372,0.9696734115548128,0.8924356103245565,0.9661751064312057,0.957933386103098,0.9315484670008891,0.91416758713778,0.8902420341550895,0.8971242238942267,0.8434665179618938,0.9461995343257882,0.9171927021890361,0.8770465922015548,0.9566317568627053,0.9360303267578647,0.8793129304435291,0.8762672214151396,0.9351438562340867,0.9030044629984825,0.9103948252547704,0.9180285391770631,0.8817636175410792,0.9244212737895169,0.773469615945196,0.9340615256559095,0.9587141076996559,0.9353213935933962,0.796019786544609,-0.10697530563199054,,0.024696380710692918,0.3678716414811193,0.2945972807851113,0.2677464235426533,0.09521483046005354,0.09366822409994241
Artery - Tibial_GTExTPM,-0.013776371517893685,0.34178806935077166,0.9527058521340344,0.9429880604558696,0.8883107576017738,0.9847217276235052,0.9862686452726551,1.0,0.9537467453930952,0.8360255461276971,0.8160523828574853,0.8296276526101757,0.7652493489476533,0.7748471527240726,0.8100476881352321,0.7977529400075022,0.8368920961103896,0.840239489639357,0.8164918934646486,0.8326523251866977,0.8534785364366793,0.8589923487002467,0.9476043098005649,0.8844467943458562,0.7451749683825475,0.9485182907957032,0.9476711027125742,0.955650076964214,0.9297305814725491,0.966680147972594,0.8833721078880381,0.9637804388673049,0.9499165503259988,0.9161192414628949,0.9026358827892047,0.8697387674614201,0.8794650158983677,0.8265378552013057,0.9251788939011422,0.9037294059415062,0.878709202171117,0.9461752829551691,0.9281680252356901,0.8657736171304793,0.8609298876950423,0.9251913983098482,0.8969414437317726,0.9052457661405136,0.8987169830946895,0.8582730678356528,0.9129923147202462,0.7675175411720587,0.9199921321738057,0.9536489505362036,0.9271212230219141,0.7779001587565093,-0.0899785476854668,,0.030564722354447123,0.38886953044660477,0.28900902122767586,0.2953589558666851,0.12261504675222734,0.09301356904741426
Bladder_GTExTPM,0.002136634051847067,0.3033415697785415,0.9593287663160189,0.9577066343495998,0.9208773304160204,0.9521868630541667,0.9603080011886151,0.9537467453930952,1.0,0.8572559523770713,0.8369951599870056,0.8533774705240004,0.7957101065488651,0.8069943202637111,0.8358571164465383,0.8200692411539805,0.8591846500236486,0.8645694423168876,0.8421164644407324,0.855835298183364,0.8776282428201285,0.8793514533496718,0.9657442205047297,0.9077210780593304,0.7930636641411299,0.9716829039070286,0.9723844233386132,0.9752891543606428,0.9679966275203702,0.9748922692096156,0.925376604858646,0.9721713966002633,0.9707387324644204,0.9165217490106161,0.9041178722614848,0.9021333572667022,0.9121568655317611,0.8592710315407986,0.9483224831805729,0.9368520504210402,0.8836915810391643,0.9532657202992395,0.9523241967817606,0.8998532965406866,0.8980549425022918,0.9644678984274968,0.9294176979388291,0.933943721746859,0.9428438818831087,0.9047408265178982,0.9498383690977226,0.8043075908208687,0.9367851020311195,0.9724296889749102,0.9646592643257088,0.82294717823447,-0.08160348743901157,,0.041207800358803316,0.3810006269862044,0.28452098594155284,0.2868011988349195,0.07919928813254995,0.061471841680069264
Brain - Amygdala_GTExTPM,0.02480149939300447,0.3197579512847648,0.8381829071436299,0.8403075834770227,0.853232085029588,0.8355819367142105,0.8455485147334327,0.8360255461276971,0.8572559523770713,1.0,0.9898789772841594,0.982272717747103,0.9093362050770674,0.9148990059495584,0.9811549387060832,0.9779785209822669,0.9941817785817025,0.9859589494175393,0.9790086053922281,0.9827381788025972,0.9508433383965584,0.9804487715945768,0.8478447036099445,0.8099395789046182,0.7646281926702695,0.8444070800572138,0.8473218620582443,0.8644643527515227,0.8537127137038846,0.8593148677459987,0.830154788482151,0.8619079271399418,0.843396285015998,0.8499551577571228,0.8506425687041703,0.8311101205917368,0.8372889181667182,0.7985081228436565,0.8406204048591374,0.8533200269587398,0.8327013951842465,0.8629090553972802,0.8509416908393932,0.8413723309044988,0.9045866398530104,0.8632804336720743,0.8414398468860033,0.8422834921687619,0.8378411108977597,0.8336491582574896,0.8620707184511012,0.7838167925509605,0.8592324385509451,0.8481274471279266,0.8405941367358939,0.7781774319319273,-0.10547558765625216,,-0.012933019300567176,0.413523595310491,0.2949617613762084,0.33113171811498726,0.05906105727992498,0.054661297153181077
