Gene	IPA_BP
7SK	0.00
A1BG	0.00
A1BG-AS1	0.00
A1CF	0.00
A2M	0.00
A2M-AS1	0.00
A2ML1	0.00
A2ML1-AS1	0.00
A2ML1-AS2	0.00
A2MP1	0.00
A3GALT2	0.00
A4GALT	0.00
A4GNT	0.00
AAAS	0.00
AACS	0.00
AACSP1	0.00
AADAC	0.00
AADACL2	0.00
AADACL3	0.00
AADACL4	0.00
AADAT	0.00
AAED1	0.00
AAGAB	0.00
AAK1	0.00
AAMDC	0.00
AAMP	0.00
AANAT	0.00
AAR2	0.00
AARD	0.00
AARS	0.00
AARS2	0.00
AARSD1	0.00
AASDH	0.00
AASDHPPT	0.00
AASS	0.00
AATF	0.00
AATK	0.00
AATK-AS1	0.00
AB015752.3	0.00
ABAT	1.00
ABCA1	0.00
ABCA10	0.00
ABCA11P	0.00
ABCA12	0.00
ABCA13	0.00
ABCA17P	0.00
ABCA2	0.00
ABCA3	0.00
ABCA4	0.00
ABCA5	0.00
ABCA6	0.00
ABCA7	0.00
ABCA8	0.00
ABCA9	0.00
ABCA9-AS1	0.00
ABCB1	1.00
ABCB10	0.00
ABCB11	0.00
ABCB4	1.00
ABCB5	0.00
ABCB6	0.00
ABCB8	0.00
ABCB9	0.00
ABCC1	1.00
ABCC10	0.00
ABCC11	0.00
ABCC12	0.00
ABCC13	0.00
ABCC2	0.00
ABCC3	0.00
ABCC4	0.00
ABCC5	0.00
ABCC5-AS1	0.00
ABCC6	0.00
ABCC8	1.00
ABCC9	1.00
ABCD2	0.00
ABCD3	0.00
ABCD4	0.00
ABCE1	0.00
ABCF1	0.00
ABCF2	1.00
ABCF2P1	0.00
ABCF2P2	0.00
ABCF3	0.00
ABCG1	0.00
ABCG2	0.00
ABCG4	0.00
ABCG5	0.00
ABCG8	0.00
ABHD1	0.00
ABHD10	0.00
ABHD11	0.00
ABHD12	0.00
ABHD12B	0.00
ABHD13	0.00
ABHD14A	0.00
ABHD14A-ACY1	0.00
ABHD14B	0.00
ABHD15	0.00
ABHD16A	0.00
ABHD16B	0.00
ABHD17A	0.00
ABHD17AP3	0.00
ABHD17AP4	0.00
ABHD17AP5	0.00
ABHD17AP6	0.00
ABHD17B	0.00
ABHD17C	0.00
ABHD2	0.00
ABHD3	0.00
ABHD4	1.00
ABHD5	0.00
ABHD6	0.00
ABHD8	0.00
ABI1	0.00
ABI2	0.00
ABI3	0.00
ABI3BP	0.00
ABL1	1.00
ABL2	0.00
ABLIM1	1.00
ABLIM2	0.00
ABLIM3	0.00
ABO	0.00
ABR	0.00
ABRA	0.00
ABRACL	0.00
ABT1	0.00
ABT1P1	0.00
ABTB1	0.00
ABTB2	0.00
AC000003.2	0.00
AC000036.4	0.00
AC000041.8	0.00
AC000068.5	0.00
AC000068.9	0.00
AC000077.2	0.00
AC000078.5	0.00
