Gene	HIPred
AGRN	0.636561334
NOC2L	0.519413292
B3GALT6	0.42872709
C1orf159	0.146139458
ISG15	0.460647643
KLHL17	0.352169782
PLEKHN1	0.146139458
SAMD11	0.263579309
OR4F5	0.186891869
HES4	0.285495073
FAM132A	0.179693475
TNFRSF18	0.412388772
SDF4	0.309710115
TNFRSF4	0.146139458
TTLL10	0.146139458
UBE2J2	0.69566071
ATAD3C	0.111908376
MRPL20	0.51777178
CPSF3L	0.533326328
AURKAIP1	0.642399788
SSU72	0.715341866
GLTPD1	0.291500628
MXRA8	0.524724424
ACAP3	0.563471615
VWA1	0.180262446
ATAD3A	0.407012284
CCNL2	0.66579318
DVL1	0.692661643
SCNN1D	0.340754777
ATAD3B	0.252101153
PUSL1	0.196595117
C1orf86	0.508349061
SKI	0.782960892
CDK11B	0.458788931
GNB1	0.782960892
SLC35E2B	0.328262568
CDK11A	0.370475143
NADK	0.446246326
PEX10	0.390338778
CALML6	0.341067612
TMEM52	0.146139458
MORN1	0.123297259
GABRD	0.836621523
PRKCZ	0.75617367
RER1	0.675177455
MIB2	0.638582647
SLC35E2	0.277585834
PRDM16	0.774301469
TP73	0.850708902
PLCH2	0.53976059
LRRC47	0.661956608
DFFB	0.517467737
ACTRT2	0.170125708
ARHGEF16	0.22862041
TPRG1L	0.465901136
HES5	0.70647347
C1orf174	0.146139458
MEGF6	0.475266188
FAM213B	0.239198908
CCDC27	0.123297259
WRAP73	0.535182178
CEP104	0.443194807
MMEL1	0.318461716
PANK4	0.624641776
TNFRSF14	0.545987666
KLHL21	0.813188612
NOL9	0.428845584
PLEKHG5	0.617312729
KCNAB2	0.806311309
ICMT	0.672696948
ESPN	0.426909864
AJAP1	0.752204061
ZBTB48	0.53161329
TNFRSF25	0.643315017
TAS1R1	0.146139458
NPHP4	0.265566707
RPL22	0.842442453
RNF207	0.333215654
HES3	0.285495073
CHD5	0.80871886
PHF13	0.646412015
THAP3	0.153042644
ACOT7	0.72829324
HES2	0.285495073
GPR153	0.286939383
VAMP3	0.627972543
SLC45A1	0.61401242
CA6	0.233598709
DNAJC11	0.672696948
PIK3CD	0.850708902
ENO1	0.736657143
SLC25A33	0.699412525
ERRFI1	0.799537539
SLC2A5	0.296939909
GPR157	0.177065939
UTS2	0.123297259
SLC2A7	0.170125708
TMEM201	0.569524527
TNFRSF9	0.442728728
CAMTA1	0.692589045
PARK7	0.831385493
PER3	0.429466158
H6PD	0.331085682
SPSB1	0.852899194
RERE	0.748812795
PEX14	0.782960892
CLSTN1	0.708272398
APITD1-CORT	0.146139458
DFFA	0.456701487
TARDBP	0.782960892
EXOSC10	0.64767915
LZIC	0.294196963
CORT	0.146139458
SRM	0.72829324
PGD	0.69566071
RBP7	0.316714138
CTNNBIP1	0.718702614
C1orf200	0.187832981
CASZ1	0.752204061
KIF1B	0.613231182
MASP2	0.196595117
UBE4B	0.705895305
C1orf127	0.178924084
APITD1	0.146139458
NMNAT1	0.598731279
FBXO6	0.460647643
FBXO2	0.676289141
FBXO44	0.621434689
NPPB	0.181705475
MAD2L2	0.850708902
UBIAD1	0.527827442
MIIP	0.146139458
MFN2	0.704433322
C1orf167	0.146139458
CLCN6	0.575333595
TNFRSF8	0.54232949
PLOD1	0.414402038
MTOR	0.800218821
DRAXIN	0.238498077
ANGPTL7	0.349588096
MTHFR	0.37917918
NPPA	0.244530007
AGTRAP	0.599986732
PTCHD2	0.70013088
AADACL3	0.111908376
PRAMEF6	0.25535503
PRAMEF1	0.25535503
PRAMEF12	0.111908376
HNRNPCL1	0.111908376
TNFRSF1B	0.668608248
DHRS3	0.72829324
PRAMEF2	0.111908376
C1orf158	0.146139458
