Gene,SDI
A1BG,7.70298753
A2M,4.95722389
NAT1,0
NAT2,0
SERPINA3,8.77178128
AADAC,2.97111404
AAMP,4.93686937
AANAT,1.87389685
AARS1,4.82577
ABAT,3.87897441
ABCA1,10.72351565
ABCA2,9.68166462
ABCA3,7.84198815
ABCB7,1.99955205
ABCF1,4.90299451
ABCF1,4.90299451
ABCF1,4.90299451
ABCF1,4.90299451
ABCF1,4.90299451
ABCF1,4.90299451
ABCF1,4.90299451
ABCA4,3.98422291
ABL1,15.55784922
AOC1,6.96184032
ABL2,2.95103349
ABO,4.96173847
ABO,4.96173847
ABR,2.92690489
ABR,2.92690489
ABR,2.92690489
ACAA1,6.80252368
ACACA,2.93333086
ACACA,2.93333086
ACACB,4.73409565
ACADL,2.32162457
ACADM,5.54654203
ACADS,3.30614607
ACADSB,1.47083869
ACADVL,7.00483334
ACAT1,2.84550713
ACAT2,5.65945686
ASIC2,3.92587365
ASIC1,4.92207042
ACHE,12.85116407
ACLY,8.8981832
ACO1,5.23411887
ACR,4.92507274
ACR,4.92507274
ACO2,3.74839457
ACOX1,9.41746522
ACP1,4.8844694
ACP2,5.88459318
ACP5,2.95697906
ACP3,9.92928941
ACRV1,0
ACTA1,11.82071198
ACTA2,9.88631356
ACTB,19.77150213
ACTC1,13.83648608
ACTG1,14.80141305
ACTG2,9.83587078
ACTN4,20.77023751
ACTN4,20.77023751
ACTL6A,8.22567543
ACTN1,17.81582845
ACTN2,12.91239003
ACTN3,5.95741753
ACVR1,3.93398493
ACVR1B,5.88553705
ACVR2A,6.80405809
ACVR2B,5.87700578
ACVRL1,6.89512459
ACY1,1.99992492
ADA,10.89850603
ADAM8,13.48600208
ADAM10,16.7051575
ADAR,5.6054256
ADARB1,4.5580059
ADARB2,2.80922132
ADCY1,5.94727457
ADCY2,6.86138487
ADCY3,6.87383168
ADCY5,3.97335581
ADCY6,4.82242787
ADCY7,1.98266541
ADCY8,2.85393962
ADCY9,4.88166203
ADCYAP1,6.80817693
ADCYAP1R1,9.88827381
ADD1,11.7936475
ADD2,5.88043341
ADD3,10.90133906
PLIN2,5.83393825
ADH1A,2.97278462
