geneId	geneSymbol	score	humanScore	mouseScore	fishScore	ppiScore	Candidate Matches		
59272	ACE2	1	0	1	0	0.543781325	FALSE		
1113	CHGA	1	0	1	0	0.501096748	FALSE		
1312	COMT	1	0.919866211	1	0	0.534387339	FALSE		
1491	CTH	1	0	1	0	0.511061708	FALSE		
5023	P2RX1	1	0	1	0	0.500914621	FALSE		
5468	PPARG	1	0.957427108	1	0	0.508487545	FALSE		
9990	SLC12A6	1	0	1	0	0.514652466	FALSE		
6886	TAL1	1	0	1	0	0.501981174	FALSE		
65266	WNK4	1	0.957427108	1	0	0.529597813	FALSE		
1395	CRHR2	0.990389636	0	0.990389636	0	0.503617448	FALSE		
5409	PNMT	0.990389636	0	0.990389636	0	0.514042662	FALSE		
1579	CYP4A11	0.977265437	0	0.977265437	0	0.504788856	FALSE		
284541	CYP4A22	0.977265437	0	0.977265437	0	0.501458441	FALSE		
57834	CYP4F11	0.977265437	0	0.977265437	0	0.501451052	FALSE		
66002	CYP4F12	0.977265437	0	0.977265437	0	0.501451052	FALSE		
389840	MAP3K15	0.977265437	0	0.977265437	0	0.500012968	FALSE		
348932	SLC6A18	0.974132566	0	0.974132566	0	0.51243836	FALSE		
1558	CYP2C8	0.969647539	0	0.969647539	0	0.504973292	FALSE		
2981	GUCA2B	0.969647539	0	0.969647539	0	0	FALSE		
26249	KLHL3	0.969647539	0.957427108	0.969647539	0	0.510605253	FALSE		
5132	PDC	0.959358571	0	0.959358571	0	0.500659997	FALSE		
7421	VDR	0.959358571	0	0.959358571	0	0.50314645	FALSE		
10058	ABCB6	0.957427108	0.957427108	0	0	0.510859005	FALSE		
368	ABCC6	0.957427108	0.957427108	0	0	0.53920158	FALSE		
64240	ABCG5	0.957427108	0.957427108	0.480991189	0	0.537595697	FALSE		
64241	ABCG8	0.957427108	0.957427108	0	0	0.524359444	FALSE		
59	ACTA2	0.957427108	0.957427108	0.8266041	0	0.507838955	FALSE		
81	ACTN4	0.957427108	0.957427108	0.399381277	0	0.505895201	FALSE		
51816	ADA2	0.957427108	0.957427108	0	0	0.500267544	FALSE		
54507	ADAMTSL4	0.957427108	0.957427108	0	0	0.505658957	FALSE		
118	ADD1	0.957427108	0.957427108	0	0	0.5142098	FALSE		
183	AGT	0.957427108	0.957427108	0.905486233	0	0	FALSE		
